Tratta,Strada,Km,Comune,Pr,Consistenza gg,Leggeri,Pesanti
50036,SS63,80.959,Carpineti,RE,359.0,7245,140
1067,SS197,21.545,Sanluri,SU,360.0,7239,259
19109,SS114DIR,9.853,Carlentini,SR,324.0,7218,959
3429,SS650,76.162,San Salvo,CH,359.0,7214,905
1520,SS407,14.721,Brindisi Montagna,PZ,360.0,7193,821
412045,SS156,39.134,Sezze,LT,360.0,7124,926
411020,SS210,32.282,Servigliano,FM,357.0,7109,68
10031,SS717,5.843,Villanova d'Albenga,SV,345.0,7109,41
376,SS28,23.398,Magliano Alpi,CN,360.0,7086,212
2239,SS28,59.225,Nucetto,CN,344.0,7076,327
3520,SS647DIR-B,11.21,Ripalimosani,CB,359.0,7076,250
1147,SS231,69.87,Fossano,CN,360.0,7073,285
97,SS6DIR,5.722,Venafro,IS,244.0,7059,715
679,SS93,6.273,Barletta,BT,362.0,7023,564
920032,SS54,19.585,Cividale del Friuli,UD,317.0,7007,158
371,SS26,125.485,La Salle,AO,289.0,6936,151
412043,SS6,96.184,Ripi,FR,360.0,6924,143
3174,SS182,3.103,Vibo Valentia,VV,334.0,6911,230
513080,SS649,6.026,Torrevecchia Teatina,CH,327.0,6893,49
835,SS117BIS,83.277,Gela,CL,363.0,6888,429
517128,SS598,34.084,Marsico Nuovo,PZ,360.0,6869,241
19116,SS417,38.159,Mineo,CT,360.0,6797,438
15027,SS90DIR,1.361,Flumeri,AV,360.0,6777,183
501029,SS20,23.977,Carmagnola,TO,363.0,6770,175
67,SS4,96.528,Borgo Velino,RI,360.0,6768,213
410006,SS728,14.307,Corciano,PG,360.0,6734,336
3478,SS17,52.707,Barisciano,AQ,363.0,6711,193
412037,SS690,39.451,Sora,FR,360.0,6701,809
19120,SS514,34.545,Vizzini,CT,360.0,6699,704
16004,SS695,0.719,Otranto,LE,360.0,6613,76
369,SS26,66.959,Montjovet,AO,325.0,6602,99
519,SS62,35.191,Pontremoli,MS,359.0,6582,84
19047,SS189,60.036,Favara,AG,236.0,6577,173
885,SS128,2.723,Monastir,SU,279.0,6563,83
411003,SS745,5.633,Fermignano,PU,360.0,6556,247
312005,SS675,32.399,Orte,VT,357.0,6531,449
3059,SS7,582.022,Matera,MT,360.0,6494,280
507005,SS29VAR,0.815,Cairo Montenotte,SV,360.0,6490,547
409162,SS439,171.878,Follonica,GR,360.0,6461,142
825,SS115,394.649,Siracusa,SR,357.0,6455,109
543,SS67,24.844,Pontedera,PI,363.0,6447,69
50039,SS64,31.551,Alto Reno Terme,BO,124.0,6429,109
3505,SS21,3.724,Roccasparvera,CN,324.0,6414,479
19121,SS514,37.252,Vizzini,CT,363.0,6408,743
256,SS16,498.357,Casalbordino,CH,122.0,6390,279
320004,S131DIR-CENT,29.319,Ottana,NU,360.0,6377,386
19107,SS114,116.118,Carlentini,SR,360.0,6364,710
491,SS51,79.105,Valle di Cadore,BL,294.0,6354,321
910007,SS87,80.159,Torrecuso,BN,360.0,6354,644
307005,SS1,592.296,Finale Ligure,SV,360.0,6267,85
111,SS7,339.033,Nusco,AV,338.0,6264,328
920028,SS13,216.343,Tarvisio,UD,321.0,6231,90
515112,SS18VAR,140.402,Ceraso,SA,359.0,6208,94
2234,SS24,81.08,Oulx,TO,360.0,6163,174
3430,SS650,57.27,Tufillo,CH,349.0,6131,827
508042,SS723,4.63,Ferrara,FE,357.0,6112,441
10042,SS624,24.997,San Giuseppe Jato,PA,360.0,6108,126
10014,SS79,7.232,Contigliano,RI,361.0,6102,412
19065,SS640DIR,3.323,Caltanissetta,CL,360.0,6079,689
10058,SS73BIS,43.006,Sant'Angelo in Vado,PU,363.0,6078,215
18030,SS682,37.423,Siderno,RC,357.0,6060,107
50031,SS45,113.839,Travo,PC,353.0,5978,80
832,SS117BIS,41.582,Enna,EN,306.0,5921,180
313,SS18,426.647,Pizzo,VV,336.0,5900,214
3388,SS7RACC,7.192,Miglionico,MT,317.0,5898,487
3030,SS28,118.948,Chiusanico,IM,359.0,5828,164
19111,SS106VAR,0.216,Roseto Capo Spulico,CS,358.0,5823,1164
892,SS129,6.328,Onifai,NU,333.0,5806,138
3189,SS12VAR,1.536,Isola della Scala,VR,354.0,5787,891
19030,SS115,78.329,Castelvetrano,TP,228.0,5768,322
508037,SS16VAR,7.693,Alfonsine,RA,360.0,5730,728
320006,SS125VAR,40.134,San Vito,SU,359.0,5704,121
3512,SS653,1.292,Lauria,PZ,358.0,5703,249
15007,SS90BIS,5.456,Benevento,BN,360.0,5701,162
131,SS7BIS,65.316,Monteforte Irpino,AV,303.0,5684,121
3221,SS186,11.014,Monreale,PA,360.0,5672,62
16002,SS275,35.438,Gagliano del Capo,LE,357.0,5647,47
2284,SS19,56.566,Polla,SA,360.0,5635,322
728,SS106,305.514,Cariati,CS,360.0,5617,382
412029,SS5,55.474,Roviano,RM,360.0,5615,274
374,SS27,9.277,Gignod,AO,231.0,5606,151
320008,SS125VAR,27.687,Castiadas,SU,360.0,5597,112
517143,SS658,31.229,Filiano,PZ,360.0,5594,377
411007,SS360,8.022,Senigallia,AN,341.0,5561,105
1035,SS187,15.3,Valderice,TP,217.0,5525,149
19063,SS122TER,2.926,Canicattì,AG,341.0,5519,260
514097,SS647,28.948,Montagano,CB,323.0,5497,483
2283,SS19,11.536,Campagna,SA,246.0,5462,166
19054,SS115,221.716,Licata,AG,359.0,5455,275
409144,SS398,29.55,Suvereto,LI,354.0,5438,74
900050,SS517VAR,10.416,Caselle in Pittari,SA,360.0,5435,118
19075,SS121,83.112,Nissoria,EN,296.0,5416,30
19133,SS194,100.408,Modica,RG,355.0,5410,298
1715,SS526,16.268,Morimondo,MI,192.0,5407,71
977,SS163,40.071,Maiori,SA,253.0,5386,86
821,SS115,287.496,Acate,RG,360.0,5345,273
1527,SS410,15.206,Naro,AG,360.0,5333,23
3047,SS95VAR,8.216,Satriano di Lucania,PZ,360.0,5328,114
3040,RA5,26.336,Picerno,PZ,208.0,5270,678
261,SS16,630.411,Apricena,FG,360.0,5263,842
3222,SS187,30.333,Castellammare del Golfo,TP,283.0,5258,146
19036,SS115,138.374,Ribera,AG,338.0,5236,419
513079,SS263,9.9,Villamagna,CH,360.0,5231,71
1705,SS517VAR,26.454,Sanza,SA,356.0,5221,111
1068,SS197,28.563,Furtei,SU,363.0,5175,107
965,SS158,24.589,Rocchetta a Volturno,IS,257.0,5162,322
3552,SS336,23.49,Varallo Pombia,NO,268.0,5156,50
306,SS166,65.995,Atena Lucana,SA,360.0,5092,88
1627,SS466,5.463,Ussana,SU,358.0,5082,148
260,SS16,554.317,Campomarino,CB,284.0,5077,833
412048,SS7,66.893,Latina,LT,312.0,5062,397
411017,SS361,49.269,San Severino Marche,MC,360.0,5061,161
15019,SS163,47.755,Vietri sul Mare,SA,363.0,5060,46
3553,SS659,4.682,Crevoladossola,VB,338.0,5054,78
409007,SS146,9.709,Chiusi,SI,360.0,5046,111
409010,SS2,188.166,San Quirico d'Orcia,SI,359.0,5038,137
375,SS27,13.381,Etroubles,AO,291.0,5000,103
412030,SS578,6.791,Cittaducale,RI,360.0,4991,284
19132,SS115,346.656,Modica,RG,360.0,4989,61
19013,SS113,332.267,Alcamo,TP,360.0,4980,99
197,SS12,309.859,Dolcè,VR,312.0,4967,346
1751,SS557,2.289,Campobello di Licata,AG,360.0,4918,54
411016,SS256,31.35,Matelica,MC,360.0,4898,208
307003,SS1,485.166,Chiavari,GE,219.0,4886,28
19019,A29DIR-A,8.879,Misiliscemi,TP,360.0,4883,232
412006,SS675,80.733,Vetralla,VT,358.0,4860,352
15006,SS87,102.236,Sassinoro,BN,327.0,4837,567
577,SS73,175.335,Anghiari,AR,360.0,4824,371
307007,SS1,500.762,Camogli,GE,352.0,4813,60
304,SS18,148.135,Vallo della Lucania,SA,360.0,4731,33
3220,SS185,52.595,Francavilla di Sicilia,ME,363.0,4725,37
312001,SS675,74.165,Viterbo,VT,360.0,4707,343
19018,A29DIR-A,3.204,Paceco,TP,358.0,4680,221
15018,SS691,16.907,Valva,SA,351.0,4677,536
15017,SS7,360.175,Morra De Sanctis,AV,360.0,4564,487
19131,SS115,366.38,Noto,SR,357.0,4529,68
1887,SS189,2.99,Vicari,PA,334.0,4519,355
10001,SS653,66.407,Tursi,MT,362.0,4513,230
3211,SS113,298.179,Terrasini,PA,360.0,4499,32
19023,SS188,39.482,Salemi,TP,360.0,4480,63
19101,SS114,41.816,Letojanni,ME,363.0,4479,46
3117,SS287,1.463,Noto,SR,360.0,4460,56
527,SS63,16.742,Fivizzano,MS,307.0,4449,28
15024,SS19,54.751,Polla,SA,358.0,4435,184
517127,SS598,9.34,Brienza,PZ,363.0,4420,261
513141,SS263,23.855,Fara Filiorum Petri,CH,360.0,4405,84
515115,SS212VAR,9.302,Benevento,BN,360.0,4344,68
409117,SS68,40.867,Volterra,PI,360.0,4344,50
19059,SS190,35.398,Riesi,CL,360.0,4338,143
284,SS17,60.595,San Pio delle Camere,AQ,363.0,4322,172
551,SS67BIS,5.601,Cascina,PI,363.0,4301,111
286,SS17,103.925,Pettorano sul Gizio,AQ,352.0,4253,329
307001,SS1,431.507,Beverino,SP,356.0,4238,49
10010,SS87,213.996,Portocannone,CB,362.0,4221,174
2214,SS231,10.698,Isola d'Asti,AT,353.0,4219,119
411005,SS3,227.501,Cagli,PU,340.0,4196,353
919,SS133BIS,9.576,Santa Teresa Gallura,SS,359.0,4181,64
16035,SS16,607.151,Chieuti,FG,363.0,4176,866
517131,SS653,36.992,Senise,PZ,363.0,4119,203
378,SS28,98.882,Pornassio,IM,360.0,4098,121
18009,SS283,42.557,Tarsia,CS,360.0,4047,718
19053,SS115TER,0.176,Porto Empedocle,AG,319.0,4045,87
19064,SS191,21.46,Pietraperzia,EN,360.0,4045,45
18031,SS106,61.612,Brancaleone,RC,360.0,4024,68
498,SS52,85.016,Santo Stefano di Cadore,BL,236.0,3999,129
898,SS129BIS,27.732,Bosa,OR,360.0,3982,56
411006,SS424,53.248,Cagli,PU,348.0,3952,60
19055,SS626,9.481,Pietraperzia,EN,360.0,3947,851
3506,SS652,8.652,Rionero Sannitico,IS,349.0,3946,305
410007,SS71,95.332,Castiglione del Lago,PG,356.0,3926,119
19099,SS113DIR,18.502,Messina,ME,360.0,3914,52
19119,SS683,1.004,Licodia Eubea,CT,360.0,3893,109
526,SS63,11.809,Fivizzano,MS,321.0,3879,19
412019,SS698,5.137,Civitavecchia,RM,360.0,3866,574
1034,SS186,22.395,Borgetto,PA,156.0,3842,52
515113,SS18VAR,162.922,Roccagloriosa,SA,363.0,3820,46
19038,SS624,30.593,San Cipirello,PA,359.0,3814,120
409116,SS68,1.961,Cecina,LI,360.0,3806,119
409003,SS68,33.506,Volterra,PI,324.0,3766,44
428,SS39,9.469,Aprica,SO,356.0,3743,82
784,SS113,90.02,Piraino,ME,360.0,3737,28
19034,SS624,52.929,Poggioreale,TP,230.0,3728,114
187,SS12,38.624,Lucca,LU,187.0,3710,185
10068,SS196,31.67,Villacidro,SU,360.0,3642,70
666,SS90,79.706,Foggia,FG,346.0,3620,246
18021,SS531,2.892,Crosia,CS,360.0,3618,33
18008,SS283,49.299,Spezzano Albanese,CS,360.0,3591,698
19032,SS624,67.415,Santa Margherita di Belice,AG,360.0,3564,164
3223,SS624,79.415,Sciacca,AG,360.0,3561,180
19033,SS624,63.274,Santa Margherita di Belice,AG,359.0,3544,115
1048,SS190,6.873,Delia,CL,357.0,3453,46
50046,SS67,169.701,Dovadola,FC,183.0,3449,56
409011,SS439,153.784,Massa Marittima,GR,360.0,3442,46
513084,SS539,0.925,Manoppello,PE,360.0,3437,18
19090,SS123,35.671,Licata,AG,360.0,3436,69
501019,SS24,65.119,Exilles,TO,334.0,3435,117
513078,SS84,87.613,San Vito Chietino,CH,360.0,3427,33
19071,SS117BIS,11.932,Enna,EN,360.0,3420,76
3465,SS626,54.807,Butera,CL,360.0,3392,161
3475,SS626,29.67,Riesi,CL,338.0,3346,210
787,SS113,154.498,Reitano,ME,323.0,3342,29
19117,SS417,1.266,Caltagirone,CT,360.0,3309,367
920067,SS3,74.901,Narni,TR,326.0,3291,59
514094,SS627,70.183,Macchia d'Isernia,IS,360.0,3266,24
15005,SS6,160.831,Mignano Monte Lungo,CE,358.0,3243,62
19062,SS640,2.621,Agrigento,AG,355.0,3228,113
2201,SS20,96.274,Vernante,CN,323.0,3210,32
3526,SS3,182.939,Gualdo Tadino,PG,317.0,3163,313
19074,SS121,87.452,Leonforte,EN,360.0,3160,17
16032,SS170DIR-A,10.844,Andria,BT,360.0,3133,22
10034,SS36,129.428,San Giacomo Filippo,SO,360.0,3132,19
412011,SS3,48.323,Civita Castellana,VT,358.0,3122,171
1317,SS303,2.644,Mirabella Eclano,AV,348.0,3119,82
517121,SS655,69.795,Montemilone,PZ,360.0,3113,730
1301,SS293,61.042,Villaperuccio,SU,360.0,3099,44
1065,SS196DIR,8.932,Samassi,SU,360.0,3016,59
745,SS107,76.328,Casali del Manco,CS,295.0,3009,103
840,SS119,46.073,Partanna,TP,345.0,2989,73
10046,SS4,110.209,Posta,RI,358.0,2989,156
20002,SS219,36.769,Gubbio,PG,335.0,2986,241
501018,SS335,5.172,Oulx,TO,339.0,2979,40
1286,SS288,11.684,Ramacca,CT,267.0,2973,59
409006,SS2,165.545,Castiglione d'Orcia,SI,324.0,2966,127
412002,SS2,120.129,San Lorenzo Nuovo,VT,360.0,2962,83
1287,SS288,46.722,Aidone,EN,322.0,2961,46
530,SS64,5.956,Pistoia,PT,348.0,2952,55
10023,SS4,154.954,Acquasanta Terme,AP,360.0,2939,185
409013,SS439DIR,0.501,Lajatico,PI,360.0,2890,65
513101,SS650,35.327,Schiavi di Abruzzo,CH,360.0,2877,744
585,SS685,31.353,Norcia,PG,356.0,2873,127
689,SS96,64.234,Gravina in Puglia,BA,363.0,2853,260
411024,SS744,18.079,Urbino,PU,360.0,2837,222
10044,SS598,69.45,Gallicchio,PZ,363.0,2832,221
948,SS153,15.899,Ofena,AQ,345.0,2817,173
517132,SS653,52.714,Senise,PZ,360.0,2791,169
10012,SS17VAR-A,8.837,Forlì del Sannio,IS,334.0,2762,52
920029,SS13,228.383,Tarvisio,UD,232.0,2752,45
19061,SS626DIR,13.508,Ravanusa,AG,360.0,2734,72
680,SS93,33.381,Canosa di Puglia,BT,360.0,2697,498
348,SS21,27.908,Vinadio,CN,330.0,2686,449
19126,SS283VAR,5.359,San Marco Argentano,CS,359.0,2670,35
920038,SS54,104.363,Tarvisio,UD,276.0,2662,47
1054,SS192,67.447,Belpasso,CT,360.0,2661,104
18011,SS283,23.464,San Marco Argentano,CS,360.0,2657,33
410008,SS71,80.553,Città della Pieve,PG,360.0,2639,18
487,SS51,19.515,Vittorio Veneto,TV,359.0,2626,66
317,SS18,492.703,Seminara,RC,363.0,2620,18
10043,SS389VAR,35.837,Villagrande Strisaili,NU,360.0,2619,76
517126,SS743,30.994,Muro Lucano,PZ,360.0,2613,42
3225,SS190,18.412,Sommatino,CL,360.0,2603,74
1743,SS547,13.651,Ortacesus,SU,360.0,2598,36
878,SS127,51.33,Bortigiadas,SS,352.0,2594,79
10016,SS448,13.398,Baschi,TR,302.0,2575,162
920049,SS5QUATER,15.759,Sante Marie,AQ,353.0,2570,38
136,SS7TER,53.0,San Pancrazio Salentino,BR,360.0,2548,135
1062,SS195,88.315,Giba,SU,316.0,2512,19
1025,SS182,12.181,San Gregorio d'Ippona,VV,360.0,2497,2
514096,SS751,6.695,Oratino,CB,363.0,2489,28
1061,SS195,62.559,Teulada,SU,145.0,2453,62
411015,SS256,4.008,Camerino,MC,325.0,2441,50
619,SS81,115.803,Loreto Aprutino,PE,360.0,2421,40
3461,SS660,7.118,Bisignano,CS,340.0,2412,37
19102,SS283,2.972,Guardia Piemontese,CS,315.0,2366,38
3535,SS94DIR,1.822,Vietri di Potenza,PZ,360.0,2356,323
19087,SS120,71.602,Petralia Soprana,PA,361.0,2343,41
3537,SS655,112.389,Irsina,MT,363.0,2324,464
900004,SS126,98.416,Guspini,SU,360.0,2298,89
19089,SS117,12.701,Mistretta,ME,360.0,2291,10
2282,SS7,280.119,Venticano,AV,360.0,2242,101
842,SS120,74.198,Geraci Siculo,PA,360.0,2217,37
409112,SS65,42.305,Barberino di Mugello,FI,316.0,2216,82
19086,SS120,56.961,Petralia Sottana,PA,360.0,2206,34
3551,SS17,2.653,Antrodoco,RI,347.0,2191,72
3001,SS616,16.24,Altilia,CS,354.0,2174,72
2123,SS17,15.615,Scoppito,AQ,352.0,2167,86
830,SS117,1.569,Reitano,ME,235.0,2161,20
1255,SS7,598.442,Laterza,TA,223.0,2137,155
790,SS113,212.622,Termini Imerese,PA,360.0,2132,26
2291,SS7DIR-C,19.078,Pescopagano,PZ,357.0,2132,482
412055,SS578,36.785,Borgorose,RI,339.0,2123,262
517122,SS655,96.847,Genzano di Lucania,PZ,361.0,2079,566
854,SS122,53.058,Caltanissetta,CL,362.0,2063,16
1059,SS194,68.838,Giarratana,RG,354.0,2063,21
1107,SS212,58.817,Riccia,CB,343.0,2047,34
19042,SS121,200.741,Roccapalumba,PA,360.0,2035,65
10072,SS26DIR,8.21,Courmayeur,AO,358.0,2032,201
19022,SS188DIR-A,3.561,Salemi,TP,360.0,2018,21
849,SS121,98.054,Enna,EN,360.0,2009,33
409161,SS439,100.65,Volterra,PI,360.0,2003,105
548,SS67,121.544,San Godenzo,FI,336.0,1984,23
412057,SS4,120.377,Cittareale,RI,333.0,1982,141
15022,SS166,24.831,Castel San Lorenzo,SA,303.0,1979,33
50009,SS12,92.603,Fiumalbo,MO,350.0,1977,15
412003,SS2,138.516,Proceno,VT,360.0,1977,101
2106,SS17,90.862,Roccacasale,AQ,321.0,1963,81
410011,SS320,3.249,Cascia,PG,333.0,1948,84
18012,SS283,8.397,Guardia Piemontese,CS,299.0,1947,23
860,SS124,27.354,Grammichele,CT,360.0,1895,14
411023,SS78,64.497,Roccafluvione,AP,359.0,1847,56
2112,SS81,180.035,Casoli,CH,351.0,1845,63
1300,SS293,46.721,Siliqua,SU,360.0,1844,35
517130,SS742,13.836,Senise,PZ,361.0,1824,34
15016,SS303,15.697,Sturno,AV,360.0,1799,64
15030,SS18,203.076,Santa Marina,SA,360.0,1775,4
19017,SS113,360.823,Trapani,TP,360.0,1764,44
409002,SS439,109.732,Pomarance,PI,360.0,1759,95
1041,SS188,143.81,Castronovo di Sicilia,PA,360.0,1712,104
1296,SS292,80.555,Sennariolo,OR,360.0,1686,26
19095,SS116,50.221,Naso,ME,336.0,1635,77
1586,SS442,40.746,Masullas,OR,360.0,1592,29
797,SS113,343.032,Calatafimi-Segesta,TP,316.0,1580,23
412004,SS74,80.452,San Lorenzo Nuovo,VT,315.0,1538,93
1386,SS337,26.222,Re,VB,271.0,1533,0
1043,SS188DIR-A,10.275,Calatafimi-Segesta,TP,360.0,1497,42
1585,SS442,18.693,Assolo,OR,130.0,1484,28
1285,SS287,18.268,Noto,SR,360.0,1471,7
50045,SS67,156.764,Portico e San Benedetto,FC,360.0,1471,15
839,SS119,7.145,Alcamo,TP,358.0,1464,64
324,SS19,89.777,Montesano sulla Marcellana,SA,359.0,1451,30
410013,SS209,28.817,Scheggino,PG,360.0,1444,58
19118,SS117BIS,70.97,Caltagirone,CT,286.0,1426,64
990,SS169,17.983,Acerenza,PZ,357.0,1422,56
410001,SS418,12.086,Acquasparta,TR,360.0,1421,29
19084,SS121,196.789,Roccapalumba,PA,361.0,1391,32
1023,SS182,71.871,Chiaravalle Centrale,CZ,359.0,1391,16
19098,SS185,1.041,Rodì Milici,ME,360.0,1353,5
19060,SS626DIR,21.17,Naro,AG,360.0,1353,54
1052,SS191,49.079,Mazzarino,CL,360.0,1340,9
515114,SS369,39.186,Molinara,BN,363.0,1338,15
410009,SS71,50.664,Ficulle,TR,360.0,1331,13
3018,SS481,24.0,Oriolo,CS,360.0,1329,6
188,SS12,66.975,San Marcello Piteglio,PT,331.0,1324,50
1496,SS389DIR-A,3.203,Buddusò,SS,363.0,1299,33
1256,SS272,39.177,San Giovanni Rotondo,FG,360.0,1288,32
19052,SS118,127.558,Agrigento,AG,351.0,1278,5
1486,SS385,53.462,Caltagirone,CT,360.0,1273,43
1298,SS292DIR,6.09,Pozzomaggiore,SS,358.0,1242,52
18026,SS182,80.116,Petrizzi,CZ,360.0,1238,41
409009,SS65,53.408,Firenzuola,FI,349.0,1233,16
874,SS126,82.784,Arbus,SU,360.0,1225,10
19051,SS118,70.528,Santo Stefano Quisquina,AG,246.0,1209,51
409137,SS258,4.377,Sansepolcro,AR,360.0,1209,31
19122,SS120,126.15,Cerami,EN,355.0,1202,10
920037,SS54,81.991,Tarvisio,UD,321.0,1179,10
514099,SS87VAR,2.791,Ripabottoni,CB,360.0,1149,31
1050,SS190,64.877,Gela,CL,359.0,1144,87
918,SS133,28.393,Luogosanto,SS,360.0,1139,12
3554,SS659,22.653,Premia,VB,318.0,1135,23
18002,SS481,43.065,Amendolara,CS,359.0,1130,10
1720,SS531,6.725,Calopezzati,CS,360.0,1126,14
19082,SS120,39.968,Caltavuturo,PA,360.0,1123,34
1108,SS212,94.142,Sant'Elia a Pianisi,CB,359.0,1120,22
10049,SS113,16.333,Messina,ME,269.0,1117,7
365,SS25,55.981,Giaglione,TO,362.0,1107,8
754,SS108BIS,42.549,San Giovanni in Fiore,CS,341.0,1077,21
920031,SS52BIS,28.832,Paluzza,UD,345.0,1040,11
19093,SS120,119.505,Cerami,EN,327.0,1026,9
831,SS117,55.174,Nicosia,EN,194.0,1022,37
366,SS25,67.486,Venaus,TO,363.0,1007,4
19091,SS121,48.338,Regalbuto,EN,356.0,1005,9
10071,SS92,117.741,Sant'Arcangelo,PZ,342.0,976,27
50035,SS63,42.635,Ventasso,RE,353.0,964,15
19021,SS188,26.975,Salemi,TP,360.0,938,17
578,SS73BIS,27.782,Borgo Pace,PU,360.0,928,57
861,SS124,94.05,Palazzolo Acreide,SR,360.0,911,7
888,SS128,104.669,Sorgono,NU,360.0,904,22
1290,SS290,10.67,Alimena,PA,320.0,885,52
50030,SS45,64.547,Ottone,PC,354.0,876,2
1106,SS212,46.694,Colle Sannita,BN,359.0,867,27
858,SS123,15.034,Campobello di Licata,AG,360.0,856,60
1288,SS289,5.286,Acquedolci,ME,360.0,855,37
19069,SS121,125.235,Santa Caterina Villarmosa,CL,360.0,852,28
409220,SS258,29.796,Sestino,AR,363.0,847,27
19058,SS190,40.362,Butera,CL,359.0,830,78
19049,SS118,59.236,Prizzi,PA,340.0,821,23
618,SS81,90.182,Penne,PE,357.0,811,7
865,SS125,217.429,Orosei,NU,360.0,808,7
855,SS122,75.249,Caltanissetta,CL,360.0,795,16
889,SS128,147.925,Sarule,NU,360.0,793,14
15001,SS91,0.7,Contursi Terme,SA,359.0,703,21
882,SS127BIS,5.053,Sassari,SS,360.0,682,2
667,SS90BIS,43.408,Greci,AV,360.0,673,70
1494,SS389,87.593,Nuoro,NU,244.0,672,10
893,SS129,25.984,Oliena,NU,360.0,670,15
19123,SS124,86.614,Palazzolo Acreide,SR,213.0,666,17
19050,SS188,134.654,Prizzi,PA,360.0,666,11
19044,SS121,176.726,Vallelunga Pratameno,CL,360.0,659,12
513075,SS84,9.221,Palena,CH,251.0,650,3
1071,SS198,85.208,Lanusei,NU,351.0,636,26
1497,SS389DIR-B,13.694,Fonni,NU,360.0,631,9
2202,SS21,56.144,Argentera,CN,360.0,624,64
1303,SS295,6.975,Tonara,NU,291.0,589,11
848,SS121,140.387,Santa Caterina Villarmosa,CL,343.0,586,18
920076,SS52,64.208,Lorenzago di Cadore,BL,354.0,578,12
1070,SS198,13.485,Villanova Tulo,SU,360.0,571,7
1022,SS182,22.888,Francica,VV,349.0,560,2
327,SS19,102.932,Lagonegro,PZ,357.0,503,15
753,SS108BIS,33.591,Aprigliano,CS,360.0,495,8
3546,SS91,117.549,Campagna,SA,360.0,495,3
890,SS128BIS,17.821,Anela,SS,360.0,473,8
307002,SS1,457.568,Deiva Marina,SP,326.0,470,2
891,SS128BIS,66.284,Ozieri,SS,355.0,464,20
1281,SS285,23.644,Caccamo,PA,360.0,454,24
18019,SS177,39.626,Longobucco,CS,317.0,449,0
662,SS89DIR-B,8.452,Monte Sant'Angelo,FG,360.0,438,8
3049,SS481,2.778,San Paolo Albanese,PZ,360.0,436,6
3462,SS660,31.062,Acri,CS,360.0,419,3
1283,SS286,33.032,Geraci Siculo,PA,335.0,416,27
517125,SS743,2.824,Pescopagano,PZ,360.0,416,12
1294,SS292,13.474,Villanova Monteleone,SS,301.0,412,4
10067,SS388,28.089,Fordongianus,OR,360.0,409,10
16043,SS89,110.639,Vieste,FG,358.0,378,2
27,SS1BIS,19.331,Vetralla,VT,359.0,364,14
409015,SS398,15.808,Monterotondo Marittimo,GR,361.0,350,35
2110,SS81,76.438,Montefino,TE,359.0,320,5
19028,SS188,66.939,Montevago,AG,360.0,281,0
1024,SS182,79.469,Argusto,CZ,360.0,279,34
752,SS108BIS,9.194,Parenti,CS,352.0,278,34
1526,SS410,1.118,Castrofilippo,AG,292.0,227,0
1291,SS290,37.353,Villarosa,EN,187.0,220,0
1053,SS192,38.208,Agira,EN,343.0,205,4
1730,SS537,6.663,Orotelli,NU,211.0,203,0
1021,SS182,30.424,Soriano Calabro,VV,359.0,187,0
411018,SS361,96.354,Fiuminata,MC,329.0,176,4
887,SS128,69.523,Laconi,OR,314.0,152,0
1026,SS182,19.529,San Gregorio d'Ippona,VV,361.0,133,0
879,SS127,85.139,Martis,SS,355.0,130,2
962,SS158,4.835,Alfedena,AQ,360.0,125,0
288,SS17,160.203,Rionero Sannitico,IS,329.0,87,1
1027,SS182,62.309,Torre di Ruggiero,CZ,261.0,76,0
1500,SS392,26.887,Oschiri,SS,331.0,59,0
