Tratta,Strada,Comune,Pr,Leggeri,Pesanti,Postazioni,Latitudine inizio,Latitudine fine,Longitudine inizio,Longitudine fine
503,SS53,Carmignano di Brenta,PD,11652,2556,503,45.618213,0.0,11.70598,0.0
3219,SS189,Aragona,AG,11612,407,3219,37.382693,0.0,13.63158,0.0
18004,A2,Morano Calabro,CS,11528,2088,18004D - 18004A,39.867572,39.863762,16.100613,16.090443
19081,SS113,Campofelice di Roccella,PA,11501,152,19081,37.982332,0.0,13.84833,0.0
240,SS16,Pesaro,PU,11303,94,240,43.885888,0.0,12.954982,0.0
505070,SS14VAR-B,San Donà di Piave,VE,11240,381,505070,45.602106,0.0,12.59476,0.0
409156,SS439,Massarosa,LU,11229,139,409156,43.90162,0.0,10.28061,0.0
307010,SS1,Ventimiglia,IM,11176,20,307010,43.793532,0.0,7.582968,0.0
514100,SS710,Campobasso,CB,11105,514,514100,41.5709,0.0,14.6835,0.0
2146,SS87,Termoli,CB,11095,630,2146,41.932053,0.0,14.985368,0.0
2141,SS87,Vinchiaturo,CB,11086,531,2141,41.51843,0.0,14.61168,0.0
3004,SS107,Cosenza,CS,11077,171,3004,39.29561,0.0,16.277095,0.0
740,SS106RADD,Cassano all'Ionio,CS,11048,1010,740,39.734312,0.0,16.476675,0.0
780,SS113,Villafranca Tirrena,ME,11028,222,780,38.244035,0.0,15.448577,0.0
3209,SS113,Naso,ME,10990,110,3209,38.151868,0.0,14.808278,0.0
154,SS9,San Martino in Strada,LO,10985,420,154,45.271177,0.0,9.549577,0.0
10040,NSA215,Ospitale di Cadore,BL,10966,403,10040,46.317592,0.0,12.316377,0.0
3385,SS18,Cetraro,CS,10950,218,3385,39.514475,0.0,15.939303,0.0
241,SS16,Fano,PU,10910,154,241,43.78812,0.0,13.10816,0.0
307009,SS1,Cipressa,IM,10779,133,307009,43.843142,0.0,7.915863,0.0
796,SS113,Partinico,PA,10751,179,796,38.032787,0.0,13.09693,0.0
489,SS51,Ponte nelle Alpi,BL,10734,356,489,46.153235,0.0,12.319612,0.0
239,SS16,Pesaro,PU,10732,130,239,43.94657,0.0,12.81678,0.0
409016,SS1,Piombino,LI,10728,1106,409016,42.979071,0.0,10.649923,0.0
1391,SS340,Porlezza,CO,10642,46,1391,46.024357,0.0,9.0827,0.0
3445,SS89,Manfredonia,FG,10638,472,3445,41.581805,0.0,15.775628,0.0
10062,A19,Alimena,PA,10623,1403,10062,37.645555,0.0,14.112142,0.0
409017,SS680,Monte San Savino,AR,10588,263,409017,43.350642,0.0,11.758035,0.0
782,SS113,Barcellona Pozzo di Gotto,ME,10550,98,782,38.143785,0.0,15.194435,0.0
90003,SS1VAR-A,Riccò del Golfo di Spezia,SP,10531,161,90003,44.130692,0.0,9.782332,0.0
308,SS18,Belvedere Marittimo,CS,10515,194,308,39.604952,0.0,15.86164,0.0
3022,SS1DIR,Ventimiglia,IM,10483,213,3022,43.783998,0.0,7.545502,0.0
307008,SS1,Diano Marina,IM,10475,81,307008,43.89361,0.0,8.073513,0.0
320007,SS125VAR,Quartu Sant'Elena,CA,10439,147,320007,39.185357,0.0,9.361252,0.0
10063,A29,Calatafimi-Segesta,TP,10425,530,10063,37.871782,0.0,12.94917,0.0
3121,SS417,Catania,CT,10389,506,3121,37.45872,0.0,14.99981,0.0
2108,SS80,Mosciano Sant'Angelo,TE,10373,196,2108,42.708132,0.0,13.894525,0.0
320003,S131DIR-CENT,Orani,NU,10368,464,320003A - 320003D,40.311443,40.320972,9.211435,9.266517
18025,SS106,Soverato,CZ,10365,240,18025,38.700798,0.0,16.534445,0.0
19135,SS115,Ragusa,RG,10338,646,19135,36.929062,0.0,14.658937,0.0
1394,SS341,Turbigo,MI,10288,274,1394,45.523715,0.0,8.72775,0.0
3415,SS36,Novate Mezzola,SO,10276,194,3415,46.224448,0.0,9.447918,0.0
2004,A29DIR,Trapani,TP,10269,484,2004,37.95271,0.0,12.668483,0.0
307004,SS1,Arenzano,GE,10264,120,307004,44.393668,0.0,8.664982,0.0
312004,SS675,Orte,VT,10260,941,312004D - 312004A,42.450872,42.452768,12.354898,12.36125
508035,SS67,Ravenna,RA,10223,591,508035,44.359632,0.0,12.15907,0.0
412007,SS2,Capranica,VT,10219,255,412007,42.272347,0.0,12.147144,0.0
411008,SS424,Mondolfo,PU,10189,367,411008,43.7527,0.0,13.128,0.0
50010,SS12,Pavullo nel Frignano,MO,10113,181,50010,44.32051,0.0,10.835145,0.0
508033,SS3BIS,Ravenna,RA,10052,2497,508033A - 508033D,44.334973,44.333958,12.212578,12.212734
726,SS106,Isola di Capo Rizzuto,KR,10025,338,726,39.0002,0.0,17.075394,0.0
16028,SS96,Altamura,BA,10008,426,16028,40.824627,0.0,16.488827,0.0
20001,SS3,Spoleto,PG,9999,643,20001,42.64294,0.0,12.729812,0.0
10019,SS318,Gualdo Tadino,PG,9980,1049,10019,43.265902,0.0,12.696252,0.0
501031,SS589,Cumiana,TO,9978,186,501031,44.958822,0.0,7.411425,0.0
727,SS106,Strongoli,KR,9966,428,727,39.236647,0.0,17.10316,0.0
409109,SS65,Vaglia,FI,9951,195,409109,43.83807,0.0,11.28935,0.0
15008,SS7,Ceppaloni,BN,9948,388,15008,41.069127,0.0,14.712688,0.0
518,SS62,Aulla,MS,9898,65,518,44.19939,0.0,9.954672,0.0
411013,SS78,Urbisaglia,MC,9800,161,411013,43.2133,0.0,13.3942,0.0
410015,SS219,Gubbio,PG,9774,592,410015,43.290849,0.0,12.657192,0.0
19103,SS114,Calatabiano,CT,9765,43,19103,37.804298,0.0,15.217932,0.0
19026,SS187,Erice,TP,9745,66,19026,38.023713,0.0,12.582285,0.0
112,SS18VAR,Lustra,SA,9714,232,112,40.267277,0.0,15.12828,0.0
508059,SS12VAR-A,Mirandola,MO,9653,546,508059,44.884218,0.0,11.050798,0.0
18027,SS106,ant'Andrea Apostolo dello Ioni,CZ,9646,162,18027,38.6353,0.0,16.549637,0.0
258,SS16,Petacciato,CB,9633,470,258,42.037668,0.0,14.842822,0.0
18020,SS106,Corigliano-Rossano,CS,9614,424,18020,39.606497,0.0,16.718293,0.0
920051,SS150,Canzano,TE,9610,290,920051,42.626933,0.0,13.815471,0.0
503052,SS45BIS,Gargnano,BS,9610,101,503052,45.669683,0.0,10.650136,0.0
411021,SS571,Recanati,MC,9570,410,411021,43.375537,0.0,13.573749,0.0
257,SS16,Vasto,CH,9544,346,257,42.165978,0.0,14.701478,0.0
482,SS50BIS-VAR,Seren del Grappa,BL,9525,629,482,46.007218,0.0,11.875208,0.0
920074,SS13,Cordignano,TV,9502,460,920074,45.94249,0.0,12.44436,0.0
18014,A2,Saracena,CS,9495,2154,18014A - 18014D,39.751657,39.751033,16.224082,16.22451
19056,SS122,Canicattì,AG,9471,319,19056,37.394413,0.0,13.854897,0.0
405,SS34,Cannobio,VB,9469,83,405,46.101348,0.0,8.696621,0.0
505069,SS14VAR-A,Musile di Piave,VE,9457,340,505069,45.599727,0.0,12.527958,0.0
10045,SS372,Pietravairano,CE,9442,1602,10045,41.31505,0.0,14.155445,0.0
15025,SS19,Padula,SA,9410,215,15025,40.307538,0.0,15.638543,0.0
3470,SS658,Potenza,PZ,9403,452,3470,40.722243,0.0,15.803592,0.0
658,SS89,Monte Sant'Angelo,FG,9362,163,658,41.65533,0.0,15.941793,0.0
494,SS51BIS,Lozzo di Cadore,BL,9354,169,494,46.47323,0.0,12.432988,0.0
3006,SS534,Cassano all'Ionio,CS,9316,1159,3006,39.723257,0.0,16.440125,0.0
725,SS106,Cutro,KR,9286,408,725,38.945053,0.0,16.927368,0.0
411004,SS3,Acqualagna,PU,9170,564,411004,43.6388,0.0,12.6987,0.0
3216,SS115,Sciacca,AG,9105,505,3216,37.492917,0.0,13.212313,0.0
920068,SS3,Foligno,PG,9095,452,920068,42.981172,0.0,12.720855,0.0
50015,SS12,Mirandola,MO,9004,616,50015,44.935832,0.0,11.072957,0.0
10013,SS699,Roccasecca dei Volsci,LT,9004,353,10013,41.44676,0.0,13.206572,0.0
15105,A2,Mormanno,CS,8983,2113,15105A - 15105D,39.9076,39.9136,15.9621,15.9646
50023,SS309,Comacchio,FE,8973,3170,50023,44.649688,0.0,12.234337,0.0
2237,SS26,Settimo Vittone,TO,8961,127,2237,45.554153,0.0,7.826962,0.0
3459,SS67,Montelupo Fiorentino,FI,8915,20,3459,43.733608,0.0,11.025042,0.0
19083,A19,Resuttano,CL,8875,1252,19083A - 19083D,37.718113,37.739528,14.037867,14.004907
102,SS7,Monte San Biagio,LT,8793,250,102,41.340577,0.0,13.334952,0.0
16005,SS172,Castellana Grotte,BA,8788,257,16005,40.828102,0.0,17.181458,0.0
411012,SS77DIR,Macerata,MC,8767,125,411012,43.3062,0.0,13.4415,0.0
920039,SS52BIS,Arta Terme,UD,8701,101,920039,46.46675,0.0,13.027043,0.0
4,SS1,Cerveteri,RM,8698,106,4,41.988362,0.0,12.041393,0.0
400,SS33,Meina,NO,8626,133,400,45.775903,0.0,8.542835,0.0
10032,SS33,Masera,VB,8606,349,10032,46.140403,0.0,8.309652,0.0
999,SS172,Turi,BA,8579,203,999,40.89164,0.0,17.04197,0.0
3431,SS652,Mozzagrogna,CH,8557,1354,3431,42.187707,0.0,14.468933,0.0
871,SS126,Sant'Antioco,SU,8554,115,871,39.063647,0.0,8.47882,0.0
19024,A29,Gibellina,TP,8523,455,19024D - 19024A,37.830637,37.830958,12.918418,12.918677
316,SS18,Palmi,RC,8508,102,316,38.396563,0.0,15.88451,0.0
412046,SS7,Pontinia,LT,8480,444,412046,41.4315,0.0,13.0431,0.0
3422,SS18,Nocera Terinese,CZ,8474,292,3422,39.031525,0.0,16.102605,0.0
575,SS73,Arezzo,AR,8450,211,575,43.42184,0.0,11.822787,0.0
16018,SS7,Palagiano,TA,8385,194,16018,40.585898,0.0,17.006963,0.0
233,SS16,Occhiobello,RO,8326,491,233,44.910493,0.0,11.652853,0.0
19114,SS194,Lentini,SR,8270,763,19114,37.262632,0.0,14.930398,0.0
411019,SS77VAR,Serravalle di Chienti,MC,8236,784,411019,43.0251,0.0,12.9068,0.0
50047,SS67,Forlì,FC,8229,163,50047,44.209167,0.0,12.001111,0.0
15023,SS19,Atena Lucana,SA,8213,257,15023,40.455715,0.0,15.542328,0.0
19115,SS114,Catania,CT,8207,694,19115,37.433446,0.0,15.065539,0.0
19068,SS640,Canicattì,AG,8173,520,19068D - 19068A,37.37817,37.377995,13.793742,13.79372
409110,SS65,Vaglia,FI,8124,74,409110,43.86798,0.0,11.29463,0.0
10038,SS38,Grosio,SO,8115,321,10038,46.305892,0.0,10.300423,0.0
66,SS4,Cittaducale,RI,8106,278,66,42.380663,0.0,12.964732,0.0
18010,SS283,San Marco Argentano,CS,8097,288,18010,39.613072,0.0,16.211957,0.0
219,SS14,Ceggia,VE,7952,624,219,45.699007,0.0,12.672272,0.0
2216,SS231,Fossano,CN,7931,292,2216,44.587022,0.0,7.752613,0.0
663,SS90,Mirabella Eclano,AV,7922,138,663,41.060227,0.0,14.979875,0.0
289,SS17,Cantalupo nel Sannio,IS,7914,579,289,41.53017,0.0,14.39459,0.0
492,SS51,Cortina d'Ampezzo,BL,7894,217,492,46.493933,0.0,12.17974,0.0
409166,SS439,Capannori,LU,7883,96,409166,43.793648,0.0,10.577575,0.0
18022,SS106,Crosia,CS,7858,383,18022,39.595433,0.0,16.801657,0.0
411025,SS362,Jesi,AN,7778,196,411025,43.487708,0.0,13.291052,0.0
1387,SS337,Santa Maria Maggiore,VB,7772,16,1387,46.134133,0.0,8.452688,0.0
838,SS118,Agrigento,AG,7735,119,838,37.339268,0.0,13.5675,0.0
19048,SS115,Favara,AG,7709,277,19048,37.247053,0.0,13.668215,0.0
900014,SS107,Crotone,KR,7654,150,900014,39.145403,0.0,17.04694,0.0
15002,SS7,Sessa Aurunca,CE,7653,325,15002,41.239812,0.0,13.827408,0.0
50044,SS64,Malalbergo,BO,7556,322,50044,44.722118,0.0,11.54212,0.0
2404,SS50BIS-VAR,Arsiè,BL,7551,707,2404,45.968738,0.0,11.754263,0.0
3396,SS682,Mammola,RC,7513,284,3396,38.35844,0.0,16.227167,0.0
812,SS115,Menfi,AG,7480,356,812,37.626403,0.0,12.947665,0.0
10017,SS79BIS,Terni,TR,7448,480,10017,42.574113,0.0,12.685325,0.0
547,SS67,Rufina,FI,7438,103,547,43.850562,0.0,11.516537,0.0
19029,A29,Castelvetrano,TP,7410,389,19029A - 19029D,37.700282,37.699723,12.819007,12.819222
19137,SS115,Vittoria,RG,7410,108,19137,36.955153,0.0,14.575273,0.0
3521,SS7,Pratola Serra,AV,7402,151,3521,40.988268,0.0,14.87809,0.0
1032,SS185,Gaggi,ME,7401,59,1032,37.852715,0.0,15.22589,0.0
933,SS145,Piano di Sorrento,,7388,100,933,40.617515,0.0,14.424098,0.0
18005,SS106,Villapiana,CS,7333,1295,18005,39.787073,0.0,16.473053,0.0
900013,SS106,Melissa,KR,7331,413,900013,39.316955,0.0,17.109017,0.0
3193,SS52,Auronzo di Cadore,BL,7323,157,3193,46.518032,0.0,12.46525,0.0
435,SS42,Monno,BS,7282,158,435,46.20132,0.0,10.346455,0.0
2238,SS28,Lesegno,CN,7268,219,2238,44.398338,0.0,7.980045,0.0
19057,SS122,Canicattì,AG,7262,135,19057,37.362012,0.0,13.790523,0.0
50036,SS63,Carpineti,RE,7245,140,50036,44.498947,0.0,10.488572,0.0
1067,SS197,Sanluri,SU,7239,259,1067,39.5559,0.0,8.869772,0.0
19109,SS114DIR,Carlentini,SR,7218,959,19109,37.318903,0.0,15.030112,0.0
3429,SS650,San Salvo,CH,7214,905,3429,42.04824,0.0,14.762448,0.0
1520,SS407,Brindisi Montagna,PZ,7193,821,1520,40.598837,0.0,15.984208,0.0
412045,SS156,Sezze,LT,7124,926,412045,41.4892,0.0,13.0459,0.0
411020,SS210,Servigliano,FM,7109,68,411020,43.0842,0.0,13.4977,0.0
10031,SS717,Villanova d'Albenga,SV,7109,41,10031,44.029842,0.0,8.131892,0.0
376,SS28,Magliano Alpi,CN,7086,212,376,44.435592,0.0,7.790213,0.0
2239,SS28,Nucetto,CN,7076,327,2239,44.351867,0.0,8.055955,0.0
3520,SS647DIR-B,Ripalimosani,CB,7076,250,3520,41.64176,0.0,14.64257,0.0
1147,SS231,Fossano,CN,7073,285,1147,44.495968,0.0,7.668833,0.0
97,SS6DIR,Venafro,IS,7059,715,97,41.441517,0.0,14.014217,0.0
679,SS93,Barletta,BT,7023,564,679,41.294197,0.0,16.214717,0.0
920032,SS54,Cividale del Friuli,UD,7007,158,920032,46.108223,0.0,13.467217,0.0
371,SS26,La Salle,AO,6936,151,371,45.73653,0.0,7.071332,0.0
412043,SS6,Ripi,FR,6924,143,412043,41.5834,0.0,13.422,0.0
3174,SS182,Vibo Valentia,VV,6911,230,3174,38.705542,0.0,16.123548,0.0
513080,SS649,Torrevecchia Teatina,CH,6893,49,513080,42.3816,0.0,14.2413,0.0
835,SS117BIS,Gela,CL,6888,429,835,37.131213,0.0,14.305737,0.0
517128,SS598,Marsico Nuovo,PZ,6869,241,517128,40.3642,0.0,15.7836,0.0
19116,SS417,Mineo,CT,6797,438,19116,37.354953,0.0,14.703397,0.0
15027,SS90DIR,Flumeri,AV,6777,183,15027,41.08921,0.0,15.099807,0.0
501029,SS20,Carmagnola,TO,6770,175,501029,44.81542,0.0,7.701918,0.0
67,SS4,Borgo Velino,RI,6768,213,67,42.407817,0.0,13.067152,0.0
410006,SS728,Corciano,PG,6734,336,410006,43.1679,0.0,12.3146,0.0
3478,SS17,Barisciano,AQ,6711,193,3478,42.317483,0.0,13.582333,0.0
412037,SS690,Sora,FR,6701,809,412037,41.7686,0.0,13.6017,0.0
19120,SS514,Vizzini,CT,6699,704,19120,37.182733,0.0,14.719898,0.0
16004,SS695,Otranto,LE,6613,76,16004,40.144257,0.0,18.480077,0.0
369,SS26,Montjovet,AO,6602,99,369,45.694578,0.0,7.670925,0.0
519,SS62,Pontremoli,MS,6582,84,519,44.360627,0.0,9.899337,0.0
19047,SS189,Favara,AG,6577,173,19047,37.355178,0.0,13.628025,0.0
885,SS128,Monastir,SU,6563,83,885,39.412123,0.0,9.058695,0.0
411003,SS745,Fermignano,PU,6556,247,411003,43.6672,0.0,12.6248,0.0
312005,SS675,Orte,VT,6531,449,312005D - 312005A,42.461097,42.454272,12.413885,12.404917
3059,SS7,Matera,MT,6494,280,3059,40.680085,0.0,16.617868,0.0
507005,SS29VAR,Cairo Montenotte,SV,6490,547,507005,44.369355,0.0,8.29406,0.0
409162,SS439,Follonica,GR,6461,142,409162,42.960035,0.0,10.796986,0.0
825,SS115,Siracusa,SR,6455,109,825,36.96895,0.0,15.18968,0.0
543,SS67,Pontedera,PI,6447,69,543,43.662072,0.0,10.684172,0.0
50039,SS64,Alto Reno Terme,BO,6429,109,50039,44.132448,0.0,10.990707,0.0
3505,SS21,Roccasparvera,CN,6414,479,3505,44.33361,0.0,7.442765,0.0
19121,SS514,Vizzini,CT,6408,743,19121,37.182272,0.0,14.748608,0.0
256,SS16,Casalbordino,CH,6390,279,256,42.199117,0.0,14.607998,0.0
320004,S131DIR-CENT,Ottana,NU,6377,386,320004A - 320004D,40.247553,40.248992,9.070867,9.077153
19107,SS114,Carlentini,SR,6364,710,19107,37.34792,0.0,15.08255,0.0
491,SS51,Valle di Cadore,BL,6354,321,491,46.413168,0.0,12.312862,0.0
910007,SS87,Torrecuso,BN,6354,644,910007,41.203552,0.0,14.736917,0.0
307005,SS1,Finale Ligure,SV,6267,85,307005,44.189148,0.0,8.412509,0.0
111,SS7,Nusco,AV,6264,328,111,40.87052,0.0,15.09005,0.0
920028,SS13,Tarvisio,UD,6231,90,920028,46.506362,0.0,13.520165,0.0
515112,SS18VAR,Ceraso,SA,6208,94,515112,40.1934,0.0,15.2666,0.0
2234,SS24,Oulx,TO,6163,174,2234,45.02005,0.0,6.83179,0.0
3430,SS650,Tufillo,CH,6131,827,3430,41.910198,0.0,14.6519,0.0
508042,SS723,Ferrara,FE,6112,441,508042,44.819673,0.0,11.581073,0.0
10042,SS624,San Giuseppe Jato,PA,6108,126,10042,37.976392,0.0,13.182825,0.0
10014,SS79,Contigliano,RI,6102,412,10014,42.419543,0.0,12.782327,0.0
19065,SS640DIR,Caltanissetta,CL,6079,689,19065,37.474408,0.0,14.060397,0.0
10058,SS73BIS,Sant'Angelo in Vado,PU,6078,215,10058,43.672423,0.0,12.437718,0.0
18030,SS682,Siderno,RC,6060,107,18030,38.296612,0.0,16.311028,0.0
50031,SS45,Travo,PC,5978,80,50031,44.864444,0.0,9.554722,0.0
832,SS117BIS,Enna,EN,5921,180,832,37.426947,0.0,14.370563,0.0
313,SS18,Pizzo,VV,5900,214,313,38.745302,0.0,16.18759,0.0
3388,SS7RACC,Miglionico,MT,5898,487,3388,40.560193,0.0,16.493167,0.0
3030,SS28,Chiusanico,IM,5828,164,3030,43.985775,0.0,7.970203,0.0
19111,SS106VAR,Roseto Capo Spulico,CS,5823,1164,19111A - 19111D,40.02404,40.023474,16.601952,16.602395
892,SS129,Onifai,NU,5806,138,892,40.396318,0.0,9.663243,0.0
3189,SS12VAR,Isola della Scala,VR,5787,891,3189,45.25387,0.0,11.01403,0.0
19030,SS115,Castelvetrano,TP,5768,322,19030,37.643945,0.0,12.838727,0.0
508037,SS16VAR,Alfonsine,RA,5730,728,508037,44.504218,0.0,12.061001,0.0
320006,SS125VAR,San Vito,SU,5704,121,320006,39.374485,0.0,9.537033,0.0
3512,SS653,Lauria,PZ,5703,249,3512,40.072478,0.0,15.878982,0.0
15007,SS90BIS,Benevento,BN,5701,162,15007,41.142437,0.0,14.838623,0.0
131,SS7BIS,Monteforte Irpino,AV,5684,121,131,40.925498,0.0,14.657395,0.0
3221,SS186,Monreale,PA,5672,62,3221,38.058925,0.0,13.259588,0.0
16002,SS275,Gagliano del Capo,LE,5647,47,16002,39.825046,0.0,18.368674,0.0
2284,SS19,Polla,SA,5635,322,2284,40.515865,0.0,15.507187,0.0
728,SS106,Cariati,CS,5617,382,728,39.514484,0.0,16.918641,0.0
412029,SS5,Roviano,RM,5615,274,412029,42.0243,0.0,12.9863,0.0
374,SS27,Gignod,AO,5606,151,374,45.791158,0.0,7.290442,0.0
320008,SS125VAR,Castiadas,SU,5597,112,320008,39.26887,0.0,9.537077,0.0
517143,SS658,Filiano,PZ,5594,377,517143,40.8664,0.0,15.6967,0.0
411007,SS360,Senigallia,AN,5561,105,411007,43.657,0.0,13.1663,0.0
1035,SS187,Valderice,TP,5525,149,1035,38.040473,0.0,12.664845,0.0
19063,SS122TER,Canicattì,AG,5519,260,19063,37.357657,0.0,13.864317,0.0
514097,SS647,Montagano,CB,5497,483,514097,41.66251,0.0,14.640098,0.0
2283,SS19,Campagna,SA,5462,166,2283,40.605912,0.0,15.102112,0.0
19054,SS115,Licata,AG,5455,275,19054,37.146277,0.0,13.841142,0.0
409144,SS398,Suvereto,LI,5438,74,409144,43.061,0.0,10.66342,0.0
900050,SS517VAR,Caselle in Pittari,SA,5435,118,900050,40.155532,0.0,15.52417,0.0
19075,SS121,Nissoria,EN,5416,30,19075,37.648247,0.0,14.418762,0.0
19133,SS194,Modica,RG,5410,298,19133,36.820882,0.0,14.775753,0.0
1715,SS526,Morimondo,MI,5407,71,1715,45.34177,0.0,8.96651,0.0
977,SS163,Maiori,SA,5386,86,977,40.637277,0.0,14.67634,0.0
821,SS115,Acate,RG,5345,273,821,36.990224,0.0,14.442036,0.0
1527,SS410,Naro,AG,5333,23,1527,37.275178,0.0,13.79625,0.0
3047,SS95VAR,Satriano di Lucania,PZ,5328,114,3047,40.553253,0.0,15.64853,0.0
3040,RA5,Picerno,PZ,5270,678,3040,40.621566,0.0,15.582017,0.0
261,SS16,Apricena,FG,5263,842,261,41.794465,0.0,15.310763,0.0
3222,SS187,Castellammare del Golfo,TP,5258,146,3222,38.031242,0.0,12.80838,0.0
19036,SS115,Ribera,AG,5236,419,19036,37.470653,0.0,13.227473,0.0
513079,SS263,Villamagna,CH,5231,71,513079,42.331701,0.0,14.254641,0.0
1705,SS517VAR,Sanza,SA,5221,111,1705,40.247242,0.0,15.591648,0.0
1068,SS197,Furtei,SU,5175,107,1068,39.573182,0.0,8.94529,0.0
965,SS158,Rocchetta a Volturno,IS,5162,322,965,41.631925,0.0,14.098317,0.0
3552,SS336,Varallo Pombia,NO,5156,50,3552,45.67002,0.0,8.651675,0.0
306,SS166,Atena Lucana,SA,5092,88,306,40.455697,0.0,15.528458,0.0
1627,SS466,Ussana,SU,5082,148,1627,39.385423,0.0,9.097653,0.0
260,SS16,Campomarino,CB,5077,833,260,41.93983,0.0,15.0721,0.0
412048,SS7,Latina,LT,5062,397,412048,41.5051,0.0,12.9483,0.0
411017,SS361,San Severino Marche,MC,5061,161,411017,43.2656,0.0,13.2545,0.0
15019,SS163,Vietri sul Mare,SA,5060,46,15019,40.664895,0.0,14.71286,0.0
3553,SS659,Crevoladossola,VB,5054,78,3553,46.187172,0.0,8.321737,0.0
409007,SS146,Chiusi,SI,5046,111,409007,43.028069,0.0,11.875764,0.0
409010,SS2,San Quirico d'Orcia,SI,5038,137,409010,43.0665,0.0,11.5691,0.0
375,SS27,Etroubles,AO,5000,103,375,45.807447,0.0,7.25067,0.0
412030,SS578,Cittaducale,RI,4991,284,412030,42.3612,0.0,12.9283,0.0
19132,SS115,Modica,RG,4989,61,19132,36.808393,0.0,14.830533,0.0
19013,SS113,Alcamo,TP,4980,99,19013,37.97877,0.0,12.937152,0.0
197,SS12,Dolcè,VR,4967,346,197,45.564888,0.0,10.825828,0.0
1751,SS557,Campobello di Licata,AG,4918,54,1751,37.264393,0.0,13.941562,0.0
411016,SS256,Matelica,MC,4898,208,411016,43.2942,0.0,12.9927,0.0
307003,SS1,Chiavari,GE,4886,28,307003,44.325062,0.0,9.303108,0.0
19019,A29DIR-A,Misiliscemi,TP,4883,232,19019A - 19019D,37.943655,37.942903,12.534992,12.533468
412006,SS675,Vetralla,VT,4860,352,412006D - 412006A,42.29907,42.29928,11.970231,11.970354
15006,SS87,Sassinoro,BN,4837,567,15006,41.364253,0.0,14.674837,0.0
577,SS73,Anghiari,AR,4824,371,577,43.531768,0.0,12.08961,0.0
307007,SS1,Camogli,GE,4813,60,307007,44.343898,0.0,9.177832,0.0
304,SS18,Vallo della Lucania,SA,4731,33,304,40.2187,0.0,15.27432,0.0
3220,SS185,Francavilla di Sicilia,ME,4725,37,3220,37.89267,0.0,15.15893,0.0
312001,SS675,Viterbo,VT,4707,343,312001A - 312001D,42.348035,42.346123,11.981148,11.981827
19018,A29DIR-A,Paceco,TP,4680,221,19018A - 19018D,37.953213,37.952623,12.597005,12.596038
15018,SS691,Valva,SA,4677,536,15018,40.766668,0.0,15.241427,0.0
15017,SS7,Morra De Sanctis,AV,4564,487,15017,40.888388,0.0,15.256555,0.0
